date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-05-03,176.89,177.5,174.44,175.88,34068180,41.9850369572785,42.1298211313072,41.403526750114,41.7453123412637,136272720,0.0,1.0
2018-05-04,183.83,184.25,178.17,178.25,56201317,43.6322536257364,43.7319410898217,42.2888463716338,42.3078344600311,224805268,0.0,1.0
2018-05-07,185.16,187.67,184.75,185.18,42451423,43.94793059534,44.5436818688024,43.8506166423043,43.9526776174393,169805692,0.0,1.0
2018-05-08,186.05,186.22,183.67,184.99,28402777,44.1591730787589,44.199522766603,43.594277448942,43.9075809074959,113611108,0.0,1.0
2018-05-09,187.36,187.4,185.22,186.55,23211241,44.4701030262632,44.4795970704618,43.9621716616379,44.2778486312415,92844964,0.0,1.0
2018-05-10,190.04,190.37,187.65,187.74,27989289,45.1062039875697,45.1845298522082,44.5389348467031,44.56029644615,111957156,0.0,1.0
2018-05-11,188.59,190.06,187.45,189.49,26212221,44.9353111919948,45.2855678729017,44.6636835619038,45.1497540578562,104848884,0.73,1.0
2018-05-14,188.15,189.53,187.86,189.01,20778772,44.8304724575737,45.1592848518945,44.7613742007962,45.0353845293968,83115088,0.0,1.0
2018-05-15,186.44,187.07,185.1,186.78,23695159,44.4230310124371,44.5731410185401,44.1037494121546,44.5040427617625,94780636,0.0,1.0
2018-05-16,188.18,188.46,186.0,186.07,19183064,44.8376205531024,44.9043361113704,44.318192278016,44.334871167583,76732256,0.0,1.0
2018-05-17,186.99,188.91,186.36,188.0,17294029,44.5540794304635,45.0115575443011,44.4039694243606,44.7947319799302,69176116,0.0,1.0
2018-05-18,186.31,187.81,186.13,187.19,18297728,44.3920559318127,44.7494607082483,44.3491673586404,44.6017334006549,73190912,0.0,1.0
2018-05-21,187.63,189.27,186.91,188.0,18400787,44.706572135076,45.0973346906456,44.5350178423869,44.7947319799302,73603148,0.0,1.0
2018-05-22,187.16,188.88,186.78,188.38,15240704,44.5945853051262,45.0044094487724,44.5040427617625,44.8852745232938,60962816,0.0,1.0
2018-05-23,188.36,188.5,185.76,186.35,20058415,44.8805091262747,44.9138669054087,44.2610075137863,44.401586725851,80233660,0.0,1.0
2018-05-24,188.15,188.84,186.21,188.77,23233975,44.8304724575737,44.9948786547341,44.368228946717,44.9781997651671,92935900,0.0,1.0
2018-05-25,188.58,189.65,187.65,188.23,17460963,44.9329284934853,45.1878772340093,44.7113375320952,44.8495340456503,69843852,0.0,1.0
2018-05-29,187.9,188.75,186.87,187.6,22514075,44.7709049948345,44.973434368148,44.5254870483487,44.6994240395473,90056300,0.0,1.0
